,Unnamed: 0,Unnamed: 0.1,Coffee Name,Roaster Name,Roaster Location,Coffee Origin,Rating,Roast Level,Review Date,Price,Agtron,Flavor,Body,Aroma,Aftertaste,Acidity,Bottom Line,Prices Per Oz,Agtron Whole,Agtron Ground,Coffee Country
0,0,0,Costa Rica Luis Campos Anaerobic,Revel Coffee,"Billings, Montana","Tarrazu, Costa Rica",94,Medium-Light,April 2020,$23.00/12 ounces,58/76,9,9,9,8,9.0,Enjoying this Costa Rica evokes the pleasures of walking into a bakery in winter alive with aromas of warming spices and rich cocoa.,1.92,58,76,Costa Rica
1,1,1,Colombia Granja La Esperanza Tres Dragones,PT's Coffee Roasting Co.,"Topeka, Kansas","Valle del Cauca growing region, Colombia",94,Medium-Light,April 2020,$23.50/12 ounces,60/74,9,9,9,8,9.0,"A bombshell of a coffee with enough personality to stand up to a lemon tart — for breakfast, of course.",1.96,60,74,Colombia
2,2,3,Colombia Finca La Loma Microlot,BeanFruit Coffee Co.,"Jackson, Mississippi","Huila, Colombia",94,Medium-Light,March 2020,$16.50/12 ounces,58/76,9,9,9,8,9.0,An exceptional Colombia cup with sweet and tart impulses in balance: deeply sweet florals and bright fruit notes throughout.,1.38,58,76,Colombia
3,3,5,Dukunde Kawa Rwanda,JBC Coffee Roasters,"Madison, Wisconsin","Musasa, Rwanda",93,Medium-Light,March 2020,$16.25/12 ounces,56/74,9,9,9,8,8.0,A deep yet delicate cup redolent with crisp fruit and spice-toned floral notes.,1.35,56,74,Rwanda
4,4,6,Buzira Burundi Natural,JBC Coffee Roasters,"Madison, Wisconsin","Murutra, Kayanza Province, Burundi",92,Medium-Light,March 2020,$18.20/12 ounces,58/76,9,8,9,8,8.0,"An exceptionally cleanly expressed natural-processed Burundi cup, citrus- and chocolate-toned.",1.52,58,76,Burundi
5,5,7,Ka’u Yellow Caturra Champagne Natural,Paradise Roasters,"Minneapolis, Minnesota","Ka’u growing region, Big Island of Hawaii",93,Medium-Light,March 2020,$24.95/4 ounces,60/78,9,8,9,8,9.0,"A complex, nuanced Ka’u coffee processed with a strain of wine yeast, encouraging a particularly vibrant, fruit-toned acidity.",6.24,60,78,USA
6,6,9,Colombia San Pascual Natural,Magnolia Coffee,"Charlotte, North Carolina","Fredonia, Antioquia Department, Colombia",92,Medium-Light,March 2020,$16.00/12 ounces; $50.00/5 pounds,58/78,9,9,8,8,8.0,A sweetly fermenty and chocolaty Colombia cup that invokes a rum-cordial-like combination of intense chocolate and fruity liqueur.,1.33,58,78,Colombia
7,7,11,Birambo Village DR Congo,JBC Coffee Roasters,"Madison, Wisconsin","South Kivu Province, Congo",91,Medium-Light,March 2020,$17.90/12 ounces,56/72,9,8,8,8,8.0,"A balanced, sweetly savory DR Congo cup with dried fruit and chocolate notes throughout.",1.49,56,72,Congo
8,8,13,KonAroma Direct Trade Kona,Jampot Poorrock Abbey,"Eagle Harbor, Michigan"," Kona growing district, Big Island of Hawaii",92,Medium,March 2020,$24.00/8 ounces,52/68,9,8,9,8,8.0,"A pretty, richly sweet Kona cup that leads with deep floral and nut tones.",3.0,52,68,USA
9,9,14,Costa Rica Tarrazu Hacienda La Pradera,Jampot Poorrock Abbey,"Eagle Harbor, Michigan","Tarrazu, Costa Rica",91,Medium,March 2020,$18.00/16 ounces,52/68,9,8,8,8,8.0,"A balanced washed process Costa Rica cup, lively, accessible, engaging.",1.12,52,68,Costa Rica
10,10,18,Elida Natural Dragonfly Lot,Dragonfly Coffee Roasters,"Boulder, Colorado","Alto Quiel, Panama",95,Medium-Light,March 2020,$20.00/12 ounces,54/70,9,9,9,9,9.0,A decidedly fruit-centered coffee with pleasing sweet ferment and rich chocolate notes throughout.,1.67,54,70,Panama
11,11,21,Kona Laurina Pointu,Kona Farm Direct,"Holualoa, Hawaii","Kona, Hawaii",94,Medium-Light,February 2020,$50.00/ 7 ounces,56/70,9,9,9,8,9.0,"An unusual and compelling coffee: brisk but very sweet, with peach and deep, musky florals.",7.14,56,70,USA
12,12,23,Kona K7,Kona Farm Direct,"Holualoa, Hawaii","Kona, Hawaii",91,Medium-Light,February 2020,$34.95/7 ounces,57/73,8,9,8,8,8.0,"A pleasingly balanced cup, quiet, accessible and subtly original.",4.99,57,73,USA
13,13,24,Kona SL34,Kona Farm Direct,"Holualoa, Hawaii","Kona, Hawaii",90,Medium-Light,February 2020,$34.95/7 ounces,59/73,8,8,8,8,8.0,"A fresh, sweet-toned cup: morning in a meadow.",4.99,59,73,USA
14,14,25,Ethiopia Dimtu,Red Rooster Coffee Roaster,"Floyd, Virginia","Hambela Wamena District, Guji Zone, Ethiopia",95,Medium-Light,February 2020,$20.99/12 ounces,58/82,9,9,9,9,9.0,"A lyrical washed-process Ethiopia cup: intricately balanced, complex, juicy, confident.",1.75,58,82,Ethiopia
15,15,26,Kona Double-Washed Black Rock Farm,Paradise Roasters,"Minneapolis, Minnesota","Kona growing region, Big Island of Hawaii",92,Medium-Light,February 2020,$19.95/12 ounces,55/73,9,8,9,8,8.0,"A solid Kona cup that leads with nut tones and bright, yet accessible, acidity.",1.66,55,73,USA
16,16,27,Peru Aproselva,Lone Coffee,"Escondido, California","Junin, Peru",90,Medium,February 2020,$15.00/12 ounces,47/67,8,8,8,8,8.0,"A roast-toned, sweetly chocolaty Peru cup with dried fruit and floral notes throughout.",1.25,47,67,Peru
17,17,28,Tanzania AA Karatu Estate,Jackrabbit Java,"Thermopolis, Wyoming","Karatu, Tanzania",93,Medium-Light,February 2020,$12.00/12 ounces,56/72,9,8,9,8,9.0,"An impeccably balanced, nuanced Tanzania cup that is an extraordinary value at $12 for 12 ounces.",1.0,56,72,Tanzania
18,18,29,Ethiopia Yetagesu Bulebula,Revel Coffee,"Billings, Montana","Yirgacheffe growing region, south-central Ethiopia",93,Medium-Light,February 2020,$17.50/12 ounces,58/77,9,8,9,8,9.0,"A classic washed Yirgacheffe cup: bright, lively, redolent of stone fruit, citrus zest and cocoa.",1.46,58,77,Ethiopia
19,19,30,Ethiopia Guji Darii Kojowa Grade 1,Cloud City Coffee,"Seattle, Washingto","Guji Zone, Oromia region, southern Ethiopia",92,Medium-Light,February 2020,$18.00/12 ounces,58/80,9,8,9,8,8.0,"An inviting, rich-toned natural-processed Ethiopia cup with clear blueberry and chocolate notes and gentle acidity.",1.5,58,80,Ethiopia
20,20,31,Kenya Kevota Makengi,Temple Coffee Roasters,"Sacramento, California",Central Kenya,92,Medium,February 2020,$22.50/12 ounces,52/68,9,9,8,8,8.0,"A robust, hearty Kenya, driven by sweet-pungent grapefruit and cedar, softened by dark chocolate suggestions.",1.88,52,68,Kenya
21,21,32,Ethiopia Reko Estate Yirgacheffe,Temple Coffee Roasters,"Sacramento, California","Yirgacheffe growing region, Ethiopia",92,Medium-Light,February 2020,$19.50/12 ounces,54/74,9,8,9,8,8.0,"Sweet flowers and intense sandalwood power this silky-bodied, fragrant Yirgacheffe.",1.62,54,74,Ethiopia
22,22,36,Ethiopia Sidama Anaerobic,Paradise Roasters,"Minneapolis, Minnesota","Sidama (also Sidamo) region, Ethiopia",94,Medium-Light,February 2020,$19.75/12 ounces,58/78,9,9,9,8,9.0,"A quietly original, resonant cup, exquisitely balanced and complete.",1.65,58,78,Ethiopia
23,23,37,Kenya Kiri Peaberry,Bird Rock Coffee Roasters,"San Diego, California","Ngiriambu District, Kenya",94,Medium-Light,February 2020,$19.00/12 ounces,56/74,9,9,9,8,9.0,"A deeply rich, big-bodied Kenya cup foregrounding spice notes, berries and bittersweet florals.",1.58,56,74,Kenya
24,24,38,Kenya Nyeri AA Ichuga,Jackrabbit Java,"Thermopolis, Wyoming","Nyeri growing region, south-central Kenya",92,Medium,February 2020,$12.00/12 ounces,52/68,9,8,9,8,8.0,"A solid Kenya cup: chocolaty, spice-toned, deeply sweet.",1.0,52,68,Kenya
25,25,40,Hacienda La Esmeralda Geisha Panama,Jackrabbit Java,"Thermopolis, Wyoming","Boquete growing region, western Panama",91,Medium-Light,February 2020,$30.00/8 ounces,54/72,9,8,8,8,8.0,An accessible Geisha cup characterized by tropical fruit and cocoa notes throughout with intimations of honey-like florals.,3.75,54,72,Panama
26,26,41,San Sebastian Colombia,JBC Coffee Roasters,"Madison, Wisconsin","Huila Department, southwestern Colombia",92,Medium-Light,February 2020,$17.75/12 ounces,59/76,9,9,8,8,8.0,A big-bodied Colombia driven by crisp chocolate and nut intrigue rounded by cherryish fruit.,1.48,59,76,Colombia
27,27,42,La Coipa Peru,JBC Coffee Roasters,"Madison, Wisconsin","Cajamarca growing region, Peru",90,Medium-Light,February 2020,$16.20/12 ounces,54/71,8,8,8,8,8.0,"A richly expressed, crisply bittersweet microlot from a tiny, woman-owned and operated farm in Peru.",1.35,54,71,Peru
28,28,46,Idido,Counter Culture Coffee,"Durham, North Carolina","Yirgacheffe growing region, south-central Ethiopia",93,Medium-Light,February 2020,$14.99/12 ounces,58/74,9,8,9,8,9.0,"A classic Ethiopia profile: cocoa- and citrus-toned. Given the distinction of the coffee, an outstanding value.",1.25,58,74,Ethiopia
