Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2019-02-17 15:10 (EST),On Demand,Leanne Hainsby,20,Cycling,Music,20 min Pop Ride,2019-02-15 05:42 (EST),137,114,41%,77,16.45,5.48,185,,,
2019-02-18 14:47 (EST),On Demand,Christine D'Ercole,30,Cycling,Music,30 min 70s Rock Ride,2019-02-18 11:18 (EST),209,116,41%,78,16.66,8.33,182,114.91,,
2019-02-18 15:19 (EST),On Demand,Christine D'Ercole,10,Cycling,Low Impact,10 min Low Impact Ride,2019-02-14 10:02 (EST),51,86,37%,79,15.05,2.50,56,110.87,,
2019-02-19 06:13 (EST),On Demand,Ally Love,45,Cycling,Intervals,45 min Intervals Ride,2018-11-07 05:49 (EST),307,114,41%,74,16.34,12.25,417,,,
2019-02-20 11:30 (EST),Live,Emma Lovewell,30,Cycling,Music,30 min Pop Ride,2019-02-20 11:19 (EST),208,115,42%,73,16.14,8.07,281,,,
2019-02-20 12:02 (EST),On Demand,Emma Lovewell,5,Cycling,Low Impact,5 min Cool Down Ride,2019-02-12 14:52 (EST),25,83,35%,81,14.71,1.22,34,,,
2019-02-21 06:11 (EST),On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,2019-02-14 05:48 (EST),254,94,37%,79,15.46,11.59,345,,,
2019-02-21 06:58 (EST),On Demand,Matt Wilpers,10,Cycling,Low Impact,10 min Cool Down Ride,2019-02-08 11:01 (EST),33,55,28%,83,12.12,2.02,45,,,
2019-02-23 06:00 (EST),On Demand,Jennifer Jacobs,60,Cycling,Music,60 min Classic Rock Ride,2019-01-19 12:34 (EST),404,112,42%,75,16.41,16.40,391,117.89,,
2019-02-23 07:02 (EST),On Demand,Jennifer Jacobs,5,Cycling,Low Impact,5 min Cool Down Ride,2019-01-25 14:22 (EST),16,54,32%,70,12.24,1.02,22,99.78,,
2019-02-24 11:46 (EST),On Demand,Leanne Hainsby,20,Cycling,Music,20 min Pop Ride,2019-02-22 05:01 (EST),138,115,41%,77,16.61,5.53,187,,,
2019-02-25 09:23 (EST),On Demand,Ben Alldis,20,Cycling,Intervals,20 min HIIT Ride,2019-02-24 04:25 (EST),139,116,41%,76,16.26,5.42,188,,,
